[12-05-2017 14:10:39] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 19
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:10:55] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:10:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:10:55] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 19
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:11:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:11:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:11:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 19
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:11:18] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:11:18] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:11:18] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:12:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:12:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:12:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:12:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:12:17] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
[12-05-2017 14:12:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:12:17] Undefined variable: border, W:\domains\mysite.local\inc\lib.ink.php : 48
[12-05-2017 14:12:24] Undefined variable: POST, W:\domains\mysite.local\table.php : 4
[12-05-2017 14:12:24] Undefined variable: POST, W:\domains\mysite.local\table.php : 5
[12-05-2017 14:12:24] Undefined variable: POST, W:\domains\mysite.local\table.php : 6
[12-05-2017 14:12:24] Undefined variable: POST, W:\domains\mysite.local\table.php : 23
[12-05-2017 14:12:24] Undefined variable: POST, W:\domains\mysite.local\table.php : 27
